序號,國別地區,中文片名,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
61,美國,阿凡達：水之道,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",48,"2,016",<1000K,"2,227,570","744,423,280"
62,美國,五星饗魘,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",3,69,<1000K,"63,738","15,960,725"
63,英國,如果驢知道,香港商甲上娛樂有限公司台灣分公司,HANWAY FILMS LIMITED,11,184,<1000K,"2,487","586,927"
64,印度,梵天神器：滅世開端,原創娛樂股份有限公司,STAR INDIA PRIVATE LIMITED,3,220,<1000K,"5,136","1,187,868"
65,南韓,王者製造,華映娛樂股份有限公司,M LINE DISTRIBUTION,1,5,<1000K,"2,142","487,840"
66,美國,決戰38度線,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS, LLC",3,109,<1000K,"38,523","8,968,586"
67,美國,骨肉的總和,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,7,<1000K,"16,040","4,022,782"
68,英國,瘋狂富作用,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,SOCIETE PARISIENNE DE PRODUCTION SARL,1,3,<1000K,"9,682","2,308,551"
69,日本,劇場版 歌之☆王子殿下♪ 真愛ST☆RISH TOURS,曼迪傳播有限公司,"KING RECORD CO., LTD.",8,726,<1000K,"13,024","3,429,382"
70,法國,抓狂養老院,原創娛樂股份有限公司,Other Angle Pictures,2,64,<1000K,816,"99,644"
71,美國,黑豹 2：瓦干達萬歲,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,223,<1000K,"932,237","250,901,628"
72,美國,鱷魚歌王,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,112,<1000K,"29,204","7,079,217"
73,中華民國,流麻溝十五號,牽猴子股份有限公司,湠臺灣電影股份有限公司,1,130,<1000K,"176,190","39,864,665"
74,美國,黑亞當,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,38,<1000K,"577,666","148,488,020"
75,日本,角落小夥伴電影版：藍色月夜的魔法之子,威視股份有限公司,"ASMIK ACE,INC.",1,11,<1000K,"61,720","15,131,869"
76,美國,回歸野性,豪華大戲院股份有限公司,IMAX Corporation.,1,0,<1000K,43,"4,315"
77,美國,貓王艾維斯,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,8,60,<1000K,"39,434","9,862,917"
78,美國,媽的多重宇宙,薩摩亞商雄讚股份有限公司台灣分公司,A24 INTERNATIONAL LLC,15,"2,505",<1000K,"277,980","68,767,339"
79,義大利,郵差,香港商甲上娛樂有限公司台灣分公司,Variety Distribution Srl,1,5,<1000K,"5,966","1,321,210"
80,中華民國,悲情城市,國際電影事業有限公司,年代網際事業股份有限公司,61,"11,822",>=1000K,"53,626","13,410,228"
81,美國,哈勃望遠鏡,豪華大戲院股份有限公司,IMAX Corporation.,1,3,<1000K,63,"6,910"
82,南斯拉夫,地下社會,前景娛樂有限公司,TF1 INTERNATIONAL,1,0,<1000K,"3,131","697,210"
